pc_time,ts_ms,lat,lon,height_mm,velN,velE,velD,fixType,numSV,counter
2026-05-19T22:06:39.955082,191303,40.9239883,29.3151169,132779,87.0,-86.0,-43.0,3,4,1899
2026-05-19T22:06:40.018928,191403,40.9239883,29.3151169,132813,51.0,-137.0,-41.0,3,4,1900
2026-05-19T22:06:40.162463,191503,40.9239883,29.3151169,132831,93.0,-136.0,-47.0,3,4,1901
2026-05-19T22:06:40.226542,191603,40.9239883,29.3151169,132807,94.0,20.0,-36.0,3,4,1902
2026-05-19T22:06:40.354002,191703,40.9239883,29.3151169,132822,98.0,-139.0,-36.0,3,4,1903
2026-05-19T22:06:40.417824,191803,40.9239922,29.3151169,132808,186.0,-74.0,-29.0,3,4,1904
2026-05-19T22:06:40.566355,191903,40.9239922,29.3151169,132812,243.0,-43.0,-28.0,3,4,1905
2026-05-19T22:06:40.625669,192003,40.9239922,29.3151169,132765,328.0,-70.0,-7.0,3,4,1906
2026-05-19T22:06:40.754059,192103,40.9239922,29.3151169,132748,343.0,-132.0,2.0,3,4,1907
2026-05-19T22:06:40.835224,192203,40.9239922,29.3151169,132695,505.0,-64.0,26.0,3,4,1908
2026-05-19T22:06:40.960989,192303,40.9239960,29.3151131,132702,453.0,-179.0,31.0,3,4,1909
2026-05-19T22:06:41.030616,192403,40.9239960,29.3151131,132731,445.0,-227.0,33.0,3,4,1910
2026-05-19T22:06:41.167569,192503,40.9239960,29.3151131,132747,418.0,-200.0,31.0,3,4,1911
2026-05-19T22:06:41.231148,192603,40.9239960,29.3151131,132730,390.0,-168.0,40.0,3,4,1912
2026-05-19T22:06:41.376078,192703,40.9239960,29.3151131,132736,399.0,-205.0,43.0,3,4,1913
2026-05-19T22:06:41.428011,192803,40.9239960,29.3151131,132735,382.0,-118.0,42.0,3,4,1914
2026-05-19T22:06:41.568310,192903,40.9239960,29.3151131,132769,314.0,-158.0,28.0,3,4,1915
2026-05-19T22:06:41.632057,193003,40.9239960,29.3151131,132789,306.0,-223.0,26.0,3,4,1916
2026-05-19T22:06:41.773993,193103,40.9239960,29.3151131,132777,285.0,-165.0,33.0,3,4,1917
2026-05-19T22:06:41.838201,193203,40.9239960,29.3151131,132816,229.0,-164.0,16.0,3,4,1918
2026-05-19T22:06:41.986511,193303,40.9239960,29.3151131,132834,155.0,-139.0,15.0,3,4,1919
2026-05-19T22:06:42.045765,193403,40.9239960,29.3151131,132831,64.0,-190.0,17.0,3,4,1920
2026-05-19T22:06:42.173497,193503,40.9239960,29.3151131,132827,7.0,-212.0,24.0,3,4,1921
2026-05-19T22:06:42.237048,193603,40.9239960,29.3151131,132824,-21.0,-278.0,29.0,3,4,1922
2026-05-19T22:06:42.381545,193703,40.9239960,29.3151131,132823,-64.0,-446.0,40.0,3,4,1923
2026-05-19T22:06:42.444847,193803,40.9239960,29.3151131,132917,-96.0,-350.0,2.0,2,3,1924
2026-05-19T22:06:42.580546,193903,40.9239960,29.3151112,132669,-165.0,-472.0,1.0,2,3,1925
2026-05-19T22:06:42.653437,194003,40.9239960,29.3151112,132557,-172.0,-614.0,0.0,2,3,1926
2026-05-19T22:06:42.796302,194103,40.9239960,29.3151112,132766,-244.0,-663.0,-3.0,2,3,1927
2026-05-19T22:06:42.844709,194203,40.9239960,29.3151073,132737,-239.0,-794.0,-3.0,2,3,1928
2026-05-19T22:06:42.990646,194303,40.9239960,29.3151073,132791,-295.0,-759.0,0.0,2,3,1929
2026-05-19T22:06:43.052061,194403,40.9239960,29.3151073,132748,-356.0,-896.0,0.0,2,3,1930
2026-05-19T22:06:43.115401,194503,40.9239922,29.3151073,132834,-415.0,-876.0,6.0,2,3,1931
2026-05-19T22:06:43.243775,194603,40.9239922,29.3151035,132758,-458.0,-900.0,8.0,2,3,1932
2026-05-19T22:06:43.323635,194703,40.9239922,29.3151035,132819,-431.0,-976.0,0.0,2,3,1933
2026-05-19T22:06:43.467944,194803,40.9239922,29.3151016,132754,-389.0,-1044.0,-3.0,2,3,1934
2026-05-19T22:06:43.526043,194903,40.9239922,29.3151016,132771,-416.0,-900.0,-6.0,2,3,1935
2026-05-19T22:06:43.658813,195003,40.9239922,29.3151016,132820,-354.0,-960.0,-6.0,2,3,1936
2026-05-19T22:06:43.723175,195103,40.9239922,29.3150978,132807,-387.0,-987.0,0.0,2,3,1937
2026-05-19T22:06:43.861850,195203,40.9239922,29.3150978,132922,-329.0,-1008.0,-1.0,2,3,1938
2026-05-19T22:06:43.917724,195303,40.9239922,29.3150978,133468,-283.0,-1008.0,-6.0,2,3,1939
2026-05-19T22:06:44.059217,195403,40.9239922,29.3150940,132984,-267.0,-975.0,-8.0,2,3,1940
2026-05-19T22:06:44.123708,195503,40.9239922,29.3150921,132807,-200.0,-1100.0,-6.0,2,3,1941
2026-05-19T22:06:44.273589,195603,40.9239922,29.3150921,132753,-323.0,-1063.0,4.0,2,3,1942
2026-05-19T22:06:44.335579,195703,40.9239922,29.3150921,133026,-298.0,-1129.0,11.0,2,3,1943
2026-05-19T22:06:44.475945,195803,40.9239922,29.3150883,133026,-318.0,-1152.0,9.0,2,3,1944
2026-05-19T22:06:44.525356,195903,40.9239922,29.3150845,133000,-199.0,-1247.0,-1.0,2,3,1945
2026-05-19T22:06:44.667249,196003,40.9239922,29.3150845,132877,-155.0,-1192.0,-5.0,2,3,1946
2026-05-19T22:06:44.734252,196103,40.9239922,29.3150845,133092,-178.0,-1229.0,-5.0,2,3,1947
2026-05-19T22:06:44.874341,196203,40.9239922,29.3150826,133079,-158.0,-1245.0,4.0,2,3,1948
2026-05-19T22:06:44.938166,196303,40.9239922,29.3150826,133362,-114.0,-1234.0,10.0,2,3,1949
2026-05-19T22:06:45.081872,196403,40.9239922,29.3150787,133072,-78.0,-1304.0,2.0,2,3,1950
2026-05-19T22:06:45.145019,196503,40.9239922,29.3150787,133090,-129.0,-1330.0,0.0,2,3,1951
2026-05-19T22:06:45.272649,196603,40.9239883,29.3150787,133343,-211.0,-1343.0,-2.0,2,3,1952
2026-05-19T22:06:45.336976,196703,40.9239883,29.3150787,133128,-138.0,-1306.0,-1.0,2,3,1953
2026-05-19T22:06:45.481376,196803,40.9239883,29.3150787,133200,-150.0,-1297.0,8.0,2,3,1954
2026-05-19T22:06:45.545479,196903,40.9239883,29.3150749,132654,-251.0,-1384.0,5.0,2,3,1955
2026-05-19T22:06:45.674070,197003,40.9239883,29.3150730,132692,-70.0,-1309.0,0.0,2,3,1956
2026-05-19T22:06:45.753599,197103,40.9239922,29.3150692,132633,-41.0,-1408.0,-6.0,2,3,1957
