pc_time,ts_ms,lat,lon,height_mm,velN,velE,velD,fixType,numSV,counter
2011-09-30T13:16:05.640352,0,48.9725340,8.4785981,220369,-286.2000000,1051.2000000,-42.1000000,3,11,0
2011-09-30T13:16:05.740352,100,48.9725337,8.4785998,220373,-312.9000000,1209.7000000,-53.8000000,3,11,1
2011-09-30T13:16:05.840352,200,48.9725333,8.4786019,220379,-374.2000000,1383.1000000,-70.2000000,3,11,2
2011-09-30T13:16:05.940352,300,48.9725329,8.4786040,220386,-456.8000000,1526.1000000,-87.4000000,3,11,3
2011-09-30T13:16:06.040352,400,48.9725324,8.4786063,220396,-549.6000000,1651.1000000,-106.9000000,3,11,4
2011-09-30T13:16:06.140352,500,48.9725318,8.4786090,220407,-684.5000000,1770.5000000,-108.2000000,3,11,5
2011-09-30T13:16:06.240352,600,48.9725310,8.4786116,220415,-818.7000000,1869.4000000,-91.2000000,3,11,6
2011-09-30T13:16:06.340352,700,48.9725301,8.4786146,220423,-930.7000000,1986.3000000,-79.9000000,3,11,7
2011-09-30T13:16:06.440352,800,48.9725292,8.4786175,220431,-1035.6000000,2077.0000000,-95.5000000,3,11,8
2011-09-30T13:16:06.540352,900,48.9725280,8.4786207,220452,-1262.7000000,2086.1000000,-189.4000000,3,10,9
2011-09-30T13:16:06.640352,1000,48.9725266,8.4786236,220474,-1473.4000000,2077.3000000,-200.1000000,3,10,10
2011-09-30T13:16:06.740352,1100,48.9725252,8.4786265,220487,-1595.7000000,2125.1000000,-130.6000000,3,10,11
2011-09-30T13:16:06.840352,1200,48.9725235,8.4786298,220498,-1764.5000000,2148.8000000,-98.0000000,3,10,12
2011-09-30T13:16:06.940352,1300,48.9725217,8.4786327,220508,-1977.7000000,2125.5000000,-80.5000000,3,10,13
2011-09-30T13:16:07.040352,1400,48.9725195,8.4786358,220517,-2207.0000000,2078.7000000,-69.1000000,3,10,14
2011-09-30T13:16:07.140352,1500,48.9725173,8.4786386,220525,-2415.4000000,2022.2000000,-61.3000000,3,10,15
2011-09-30T13:16:07.240352,1600,48.9725149,8.4786413,220528,-2647.2000000,1950.6000000,-21.3000000,3,10,16
2011-09-30T13:16:07.340352,1700,48.9725121,8.4786441,220523,-2914.4000000,1884.1000000,42.8000000,3,10,17
2011-09-30T13:16:07.440352,1800,48.9725092,8.4786466,220516,-3149.7000000,1822.4000000,74.0000000,3,10,18
2011-09-30T13:16:07.540352,1900,48.9725059,8.4786493,220508,-3412.9000000,1744.6000000,73.0000000,3,10,19
2011-09-30T13:16:07.640352,2000,48.9725025,8.4786515,220500,-3673.7000000,1622.1000000,96.3000000,3,10,20
2011-09-30T13:16:07.740352,2100,48.9724990,8.4786535,220490,-3943.0000000,1482.7000000,107.6000000,3,10,21
2011-09-30T13:16:07.840352,2200,48.9724948,8.4786555,220481,-4236.4000000,1351.1000000,113.8000000,3,10,22
2011-09-30T13:16:07.940352,2300,48.9724907,8.4786572,220466,-4491.4000000,1228.4000000,155.9000000,3,10,23
2011-09-30T13:16:08.040352,2400,48.9724865,8.4786587,220448,-4745.4000000,1081.9000000,193.7000000,3,10,24
2011-09-30T13:16:08.140352,2500,48.9724815,8.4786600,220424,-5026.2000000,892.3000000,233.6000000,3,10,25
